movie_id,movie_name,release_date,true_gross_revenue,predicted_gross_revenue_rf,predicted_gross_revenue_68_lower,predicted_gross_revenue_68_upper,predicted_gross_revenue_95_lower,predicted_gross_revenue_95_upper,x,y,class
1039,The BFG,7/1/16,18775350,11910601.47,8524423.34,16641879.67,6183111.43,22943534.04,-0.524785146,-3.276487851,1
1016,Alice Through the Looking Glass,5/27/16,26858726,38786325.15,27759392.01,54193514.68,20135017.59,74714561.92,-1.836726272,4.099582557,2
1015,The Nice Guys,5/20/16,11203270,12498280.54,8945025.54,17463003.97,6488191.33,24075587.25,-0.555120078,0.492316819,3
1036,Central Intelligence,6/17/16,35535250,23945380.38,17137720.53,33457264.07,12430686.67,46126272.54,3.825038702,-2.649749343,1
1040,The Purge: Election Year,7/1/16,31515110,16004062.55,11454115.45,22361396.59,8308136.43,30828817.06,2.68012846,2.898112349,2
1043,Ghostbusters (2016),7/15/16,46018755,40855236.1,29240112.6,57084264.34,21209044.54,78699929.83,2.095605626,4.550424012,3
973,Independence Day: Resurgence,6/24/16,41039944,47128427.86,33729839.03,65849371.84,24465625.97,90784054.12,-2.148095469,-3.096773675,1
1014,Neighbors 2: Sorority Rising,5/20/16,21760405,22016482.24,15757207.18,30762144.87,11429344.12,42410612.99,-2.094501058,0.775892741,2
980,X-Men: Apocalypse,5/27/16,65769562,108927714.3,77959618.77,152197344.3,56547286.58,209828758.6,2.65313396,0.919361323,3
1004,Money Monster,5/13/16,14788157,17341280.79,12411163.2,24229801.4,9002322.15,33404716.55,2.097513254,4.033194628,1
1042,Mike & Dave Need Wedding Dates,7/8/16,16628170,17242684.23,12340597.59,24092039.07,8951138.03,33214788.81,-0.948136679,-3.089055664,2
996,Free State of Jones,6/24/16,7572206,12296894.07,8800893.14,17181620.24,6383646.23,23687654.08,-4.520455187,-1.518098032,3
1038,The Shallows,6/24/16,16800868,16238372.9,11621811.48,22688782.63,8429773.19,31280171.89,1.42727329,-4.165949334,1
1041,The Legend of Tarzan,7/1/16,38527856,28408056.54,20331660.06,39692660.32,14747381.09,54722779,3.270814172,-1.723557106,2
1000,Captain America: Civil War,5/6/16,179139142,134980880.5,96605882.65,188599675.3,70072181.18,260015284.1,3.46876763,2.92257681,3
1013,The Angry Birds Movie,5/20/16,38155177,33521892.14,23991634.72,46837877.71,17402109.77,64573621.67,-0.014615176,0.60222475,1
1037,Disney-Pixar's Finding Dory,6/17/16,135060273,122645865,87777705.99,171364790.6,63668745.1,236254196.3,-2.238284376,-2.017776051,2
1097,The Darkness,5/13/16,4950859,6258124.04,4478942.46,8744054.4,3248759.38,12055099.16,-2.86383343,0.42660539,3
1082,The Infiltrator,7/15/16,5303775,4195104.81,3002438.58,5861536.85,2177790.98,8081080.56,0.947697001,1.538857669,1
961,Secret Life of Pets,7/8/16,104352905,55060770.54,39407020.59,76932698.97,28583516.98,106064220.7,2.066543203,4.980720206,2