treatment,dvs,topline_error,topline,treatment_effect_error,treatment_effect,best_treatment,worst_treatment,backlash,audience
Company Ad 2,Competitor DV 2,0.019529473,0.470977144,0.024586519,0.055834489,0.0254,0.0082,0.0114,Audience 2
Company Ad 2,Competitor DV 2,0.022064982,0.480850369,0.026100607,0.096918609,0.0214,0,0,Audience 4
Competitor Ad,Company DV 1,0.016508324,0.542169246,0.021111334,0.004757465,0.059,0.1488,0.4004,Audience 1
Competitor Ad,Competitor DV 1,0.013825057,0.563206497,0.019375902,0.029736946,0.082,0.0278,0.063,Audience 3
Control,Company DV 2,0.009112955,0.875262139,0,0,0.1348,0.0816,0,Audience 3
Company Ad 2,Competitor DV 1,0.02047082,0.387404472,0.024480918,0.013218638,0.0108,0.1884,0.2954,Audience 2
Control,Competitor DV 2,0.013889883,0.38393176,0,0,0,0.7698,0,Audience 4
Competitor Ad,Competitor DV 2,0.019620041,0.473165545,0.024647176,0.05802289,0.0248,0.0092,0.0126,Audience 2
Company Ad 1,Competitor DV 2,0.024237879,0.40437299,0.027933025,0.020441229,2.00E-04,0.2254,0.227,Audience 4
Company Ad 1,Company DV 1,0.012988562,0.887158061,0.015443764,-0.004444913,0.0214,0.0348,0.6174,Audience 3
Company Ad 1,Company DV 1,0.020980388,0.566897606,0.025545885,0.029485826,0.5316,0.0114,0.1162,Audience 1
Company Ad 1,Competitor DV 1,0.014015201,0.562064501,0.019325769,0.02859495,0.0814,0.0312,0.0742,Audience 3
Competitor Ad,Company DV 1,0.013216378,0.888714298,0.015751293,-0.002888677,0.0244,0.0314,0.569,Audience 3
Control,Company DV 1,0.014221696,0.53741178,0,0,0.063,0.3328,0,Audience 1
Control,Competitor DV 1,0.013459283,0.533469551,0,0,0.0054,0.7818,0,Audience 3
Company Ad 1,Company DV 2,0.011125746,0.872196203,0.014098688,-0.003065936,0.0528,0.0776,0.5862,Audience 3
Competitor Ad,Company DV 2,0.0120926,0.866322147,0.014928015,-0.008939992,0.023,0.2094,0.7212,Audience 3
Company Ad 2,Company DV 2,0.016228984,0.891465975,0.018508455,0.016203836,0.6166,0.0076,0.1934,Audience 3
Control,Competitor DV 2,0.014880583,0.415142655,0,0,0,0.8884,0,Audience 2
Competitor Ad,Competitor DV 2,0.022371136,0.48577556,0.0262694,0.1018438,0.033,0,2.00E-04,Audience 4
Control,Company DV 2,0.014866003,0.48246974,0,0,0.1154,0.3744,0,Audience 1
Company Ad 2,Competitor DV 1,0.01434225,0.560489035,0.019960477,0.027019484,0.0668,0.046,0.0852,Audience 3
Control,Company DV 1,0.008832926,0.891602974,0,0,0.036,0.0124,0,Audience 3
Company Ad 2,Company DV 1,0.016521665,0.91977939,0.018408954,0.028176416,0.7812,0.0016,0.0606,Audience 3
Control,Company DV 2,0.015138236,0.49347355,0,0,0,0.6798,0,Audience 2
Company Ad 2,Company DV 2,0.023654099,0.697805971,0.028106112,0.102906563,0.3866,0,0,Audience 4
Competitor Ad,Competitor DV 1,0.017957373,0.415377938,0.022634271,0.041192105,0.1206,0.008,0.0292,Audience 2
Company Ad 2,Competitor DV 1,0.018992101,0.505573517,0.023008458,0.027790502,0.0084,0.0442,0.113,Audience 4
Company Ad 1,Competitor DV 2,0.024785147,0.381495203,0.028730735,0.003643215,0.0014,0.416,0.4478,Audience 1
Company Ad 2,Company DV 1,0.011329972,0.900404763,0.014059544,-0.002050352,0.0458,0.0596,0.5612,Audience 4
Competitor Ad,Competitor DV 2,0.020572902,0.416162429,0.025258676,0.038310442,0.0196,0.021,0.0584,Audience 1
Company Ad 1,Company DV 1,0.014272195,0.916525801,0.016528972,0.014070685,0.4306,0.0096,0.2052,Audience 4
Competitor Ad,Company DV 1,0.013868926,0.544231424,0.020252081,0.041242188,0.1134,0.0106,0.0212,Audience 2
Competitor Ad,Company DV 2,0.022674373,0.635065442,0.026769517,0.040166033,0.002,0.0108,0.0636,Audience 4
Competitor Ad,Company DV 2,0.021266164,0.542124849,0.026313536,0.048651298,0.006,0.0166,0.0344,Audience 2
Control,Competitor DV 1,0.01327774,0.477783015,0,0,0,0.4752,0,Audience 4
Company Ad 1,Company DV 2,0.01547662,0.496204971,0.020780627,0.013735231,0.2222,0.0466,0.2526,Audience 1
Competitor Ad,Competitor DV 2,0.02030432,0.633966874,0.024501224,0.019226576,0.011,0.049,0.2154,Audience 3
Company Ad 1,Competitor DV 1,0.018327003,0.381280437,0.023383567,0.043831951,0.0452,0.0244,0.0326,Audience 1
Control,Company DV 1,0.008536571,0.902455115,0,0,0.102,0.062,0,Audience 4
Company Ad 2,Company DV 2,0.023769341,0.608377803,0.028612725,0.114904253,0.7748,0,0,Audience 2
Competitor Ad,Competitor DV 1,0.018967441,0.516027063,0.023096663,0.038244048,0.0288,0.0142,0.051,Audience 4
Company Ad 2,Company DV 1,0.014208116,0.547859287,0.020749927,0.044870051,0.177,0.0064,0.014,Audience 2
Company Ad 1,Company DV 2,0.021735425,0.633569509,0.025738015,0.038670101,0.0018,0.011,0.0602,Audience 4
Control,Competitor DV 1,0.014719736,0.337448486,0,0,0,0.893,0,Audience 1
Company Ad 1,Competitor DV 2,0.021843359,0.607075614,0.025301537,-0.007664684,0.0014,0.3934,0.6202,Audience 3
Control,Company DV 1,0.014605343,0.502989236,0,0,0.001,0.9228,0,Audience 2
Control,Company DV 2,0.014242392,0.594899408,0,0,0,0.2566,0,Audience 4
Control,Competitor DV 2,0.014988146,0.377851988,0,0,0,0.5078,0,Audience 1
Competitor Ad,Company DV 1,0.011353679,0.896585549,0.013998705,-0.005869566,0.0292,0.1082,0.6582,Audience 4
Competitor Ad,Competitor DV 1,0.021068767,0.372862888,0.025515964,0.035414402,0.0216,0.078,0.0862,Audience 1
Company Ad 2,Competitor DV 2,0.019544517,0.635226921,0.023460682,0.020486623,0.0116,0.036,0.186,Audience 3
Control,Competitor DV 1,0.013931337,0.374185834,0,0,0.001,0.527,0,Audience 2
Company Ad 1,Competitor DV 1,0.02220812,0.480269558,0.025592592,0.002486543,0.0014,0.4116,0.4606,Audience 4
Competitor Ad,Company DV 2,0.014690758,0.489483451,0.020383182,0.007013711,0.1124,0.1126,0.3608,Audience 1
Control,Competitor DV 2,0.013443872,0.614740298,0,0,0,0.205,0,Audience 3
